model,accuracy,precision,recall,macro_f1,weighted_f1,selected_by,best_params_path
afroxlmr_repro,0.5,0.5,0.0133333333333333,0.3448255780094345,0.3448255780094345,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\afroxlmr_repro\best_config.json
afroxlmr_repro_prior_calibrated,0.49,0.49,0.49,0.49,0.49,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\afroxlmr_repro_prior_calibrated\best_config.json
afroxlmr_repro_pairwise_exploratory,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\afroxlmr_repro_pairwise_exploratory\best_config.json
xlmr,0.495,0.2,0.0033333333333333,0.3340049455078304,0.3340049455078304,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\xlmr\best_config.json
xlmr_prior_calibrated,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\xlmr_prior_calibrated\best_config.json
xlmr_pairwise_exploratory,0.4966666666666666,0.4966666666666666,0.4966666666666666,0.4966666666666666,0.4966666666666666,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\xlmr_pairwise_exploratory\best_config.json
afriberta,0.505,0.5230769230769231,0.1133333333333333,0.4153063735542613,0.4153063735542613,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\afriberta\best_config.json
afriberta_prior_calibrated,0.46,0.46,0.46,0.46,0.46,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\afriberta_prior_calibrated\best_config.json
afriberta_pairwise_exploratory,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\afriberta_pairwise_exploratory\best_config.json
mbert,0.495,0.4285714285714285,0.03,0.3556824343721093,0.3556824343721093,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\mbert\best_config.json
mbert_prior_calibrated,0.4933333333333333,0.4933333333333333,0.4933333333333333,0.4933333333333333,0.4933333333333333,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\mbert_prior_calibrated\best_config.json
mbert_pairwise_exploratory,0.47,0.47,0.47,0.47,0.47,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\mbert_pairwise_exploratory\best_config.json
afroxlmr_focal,0.5,0.5,0.0133333333333333,0.3448255780094345,0.3448255780094345,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\afroxlmr_focal\best_config.json
afroxlmr_focal_prior_calibrated,0.49,0.49,0.49,0.49,0.49,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\afroxlmr_focal_prior_calibrated\best_config.json
afroxlmr_focal_pairwise_exploratory,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\afroxlmr_focal_pairwise_exploratory\best_config.json
afroxlmr_min15words,0.5037974683544304,1.0,0.0050761421319796,0.3395099645099645,0.3403439112299872,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\afroxlmr_min15words\best_config.json
afroxlmr_min15words_prior_calibrated,0.4886075949367088,0.4880382775119617,0.5177664974619289,0.4882106937602627,0.4881746118351313,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\afroxlmr_min15words_prior_calibrated\best_config.json
afroxlmr_min15words_pairwise_exploratory,0.4835443037974684,0.4816753926701571,0.467005076142132,0.4833820587782735,0.4834052366381585,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\afroxlmr_min15words_pairwise_exploratory\best_config.json
afroxlmr_repro_5e,0.5033333333333333,1.0,0.0066666666666666,0.3406982403870263,0.3406982403870263,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\afroxlmr_repro_5e\best_config.json
afroxlmr_repro_5e_prior_calibrated,0.4933333333333333,0.4933333333333333,0.4933333333333333,0.4933333333333333,0.4933333333333333,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\afroxlmr_repro_5e_prior_calibrated\best_config.json
afroxlmr_repro_5e_pairwise_exploratory,0.4533333333333333,0.4533333333333333,0.4533333333333333,0.4533333333333333,0.4533333333333333,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\afroxlmr_repro_5e_pairwise_exploratory\best_config.json
xlmr_5e,0.5016666666666667,0.6,0.01,0.342796959428519,0.342796959428519,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\xlmr_5e\best_config.json
xlmr_5e_prior_calibrated,0.49,0.49,0.49,0.49,0.49,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\xlmr_5e_prior_calibrated\best_config.json
xlmr_5e_pairwise_exploratory,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\xlmr_5e_pairwise_exploratory\best_config.json
afriberta_5e,0.495,0.3846153846153846,0.0166666666666666,0.3451739899362823,0.3451739899362823,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\afriberta_5e\best_config.json
afriberta_5e_prior_calibrated,0.5,0.5,0.5,0.5,0.5,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\afriberta_5e_prior_calibrated\best_config.json
afriberta_5e_pairwise_exploratory,0.54,0.54,0.54,0.54,0.54,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\afriberta_5e_pairwise_exploratory\best_config.json
mbert_5e,0.5016666666666667,0.5555555555555556,0.0166666666666666,0.3483922286511283,0.3483922286511283,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\mbert_5e\best_config.json
mbert_5e_prior_calibrated,0.4866666666666667,0.4869281045751634,0.4966666666666666,0.4866153281994866,0.4866153281994866,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\mbert_5e_prior_calibrated\best_config.json
mbert_5e_pairwise_exploratory,0.45,0.45,0.45,0.45,0.45,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\mbert_5e_pairwise_exploratory\best_config.json
afroxlmr_focal_5e,0.5016666666666667,0.6666666666666666,0.0066666666666666,0.3399339933993399,0.3399339933993399,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\afroxlmr_focal_5e\best_config.json
afroxlmr_focal_5e_prior_calibrated,0.47,0.47,0.47,0.47,0.47,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\afroxlmr_focal_5e_prior_calibrated\best_config.json
afroxlmr_focal_5e_pairwise_exploratory,0.6033333333333334,0.6033333333333334,0.6033333333333334,0.6033333333333334,0.6033333333333334,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\afroxlmr_focal_5e_pairwise_exploratory\best_config.json
afroxlmr_min15words_5e,0.5037974683544304,1.0,0.0050761421319796,0.3395099645099645,0.3403439112299872,validation_learning_rate_and_threshold_macro_f1,outputs\enhanced\afroxlmr_min15words_5e\best_config.json
afroxlmr_min15words_5e_prior_calibrated,0.4835443037974684,0.4832535885167464,0.5126903553299492,0.4831434729064039,0.483107033734489,validation_learning_rate_plus_unlabeled_prior_calibration,outputs\enhanced\afroxlmr_min15words_5e_prior_calibrated\best_config.json
afroxlmr_min15words_5e_pairwise_exploratory,0.5594936708860759,0.5602094240837696,0.5431472081218274,0.5593552854285275,0.5593750547796058,exploratory_pairwise_postprocessing_no_threshold,outputs\enhanced\afroxlmr_min15words_5e_pairwise_exploratory\best_config.json
