model,language,language_name,accuracy,precision,recall,macro_f1,weighted_f1,support
afroxlmr_repro,afr,Afrikaans,0.49,0.3333333333333333,0.02,0.3453985367731998,0.3453985367731998,200
afroxlmr_repro,eng,English,0.505,1.0,0.01,0.3443491506341269,0.3443491506341269,200
afroxlmr_repro,zul,isiZulu,0.505,1.0,0.01,0.3443491506341269,0.3443491506341269,200
afroxlmr_repro_prior_calibrated,afr,Afrikaans,0.47,0.47,0.47,0.47,0.47,200
afroxlmr_repro_prior_calibrated,eng,English,0.52,0.52,0.52,0.52,0.52,200
afroxlmr_repro_prior_calibrated,zul,isiZulu,0.48,0.48,0.48,0.48,0.48,200
afroxlmr_repro_pairwise_exploratory,afr,Afrikaans,0.51,0.51,0.51,0.51,0.51,200
afroxlmr_repro_pairwise_exploratory,eng,English,0.48,0.48,0.48,0.48,0.48,200
afroxlmr_repro_pairwise_exploratory,zul,isiZulu,0.53,0.53,0.53,0.53,0.53,200
xlmr,afr,Afrikaans,0.5,0.0,0.0,0.3333333333333333,0.3333333333333332,200
xlmr,eng,English,0.485,0.0,0.0,0.3265993265993266,0.3265993265993266,200
xlmr,zul,isiZulu,0.5,0.5,0.01,0.3420186866692986,0.3420186866692985,200
xlmr_prior_calibrated,afr,Afrikaans,0.51,0.51,0.51,0.51,0.51,200
xlmr_prior_calibrated,eng,English,0.52,0.52,0.52,0.52,0.52,200
xlmr_prior_calibrated,zul,isiZulu,0.52,0.52,0.52,0.52,0.52,200
xlmr_pairwise_exploratory,afr,Afrikaans,0.46,0.46,0.46,0.46,0.46,200
xlmr_pairwise_exploratory,eng,English,0.56,0.56,0.56,0.56,0.56,200
xlmr_pairwise_exploratory,zul,isiZulu,0.47,0.47,0.47,0.47,0.47,200
afriberta,afr,Afrikaans,0.515,0.5245901639344263,0.32,0.4958288936822682,0.4958288936822682,200
afriberta,eng,English,0.5,0.0,0.0,0.3333333333333333,0.3333333333333332,200
afriberta,zul,isiZulu,0.5,0.5,0.02,0.3503118503118503,0.3503118503118502,200
afriberta_prior_calibrated,afr,Afrikaans,0.47,0.47,0.47,0.47,0.47,200
afriberta_prior_calibrated,eng,English,0.46,0.46,0.46,0.46,0.46,200
afriberta_prior_calibrated,zul,isiZulu,0.45,0.45,0.45,0.45,0.45,200
afriberta_pairwise_exploratory,afr,Afrikaans,0.51,0.51,0.51,0.51,0.51,200
afriberta_pairwise_exploratory,eng,English,0.61,0.61,0.61,0.61,0.61,200
afriberta_pairwise_exploratory,zul,isiZulu,0.42,0.42,0.42,0.42,0.42,200
mbert,afr,Afrikaans,0.485,0.4117647058823529,0.07,0.3778502612424874,0.3778502612424874,200
mbert,eng,English,0.495,0.3333333333333333,0.01,0.3396750678304076,0.3396750678304076,200
mbert,zul,isiZulu,0.505,1.0,0.01,0.3443491506341269,0.3443491506341269,200
mbert_prior_calibrated,afr,Afrikaans,0.5,0.5,0.5,0.5,0.5,200
mbert_prior_calibrated,eng,English,0.52,0.52,0.52,0.52,0.52,200
mbert_prior_calibrated,zul,isiZulu,0.46,0.46,0.46,0.46,0.46,200
mbert_pairwise_exploratory,afr,Afrikaans,0.4,0.4,0.4,0.4,0.4,200
mbert_pairwise_exploratory,eng,English,0.45,0.45,0.45,0.45,0.45,200
mbert_pairwise_exploratory,zul,isiZulu,0.56,0.56,0.56,0.56,0.56,200
afroxlmr_focal,afr,Afrikaans,0.495,0.4,0.02,0.3478611783696529,0.3478611783696529,200
afroxlmr_focal,eng,English,0.5,0.5,0.01,0.3420186866692986,0.3420186866692985,200
afroxlmr_focal,zul,isiZulu,0.505,1.0,0.01,0.3443491506341269,0.3443491506341269,200
afroxlmr_focal_prior_calibrated,afr,Afrikaans,0.5,0.5,0.5,0.5,0.5,200
afroxlmr_focal_prior_calibrated,eng,English,0.49,0.49,0.49,0.49,0.49,200
afroxlmr_focal_prior_calibrated,zul,isiZulu,0.48,0.48,0.48,0.48,0.48,200
afroxlmr_focal_pairwise_exploratory,afr,Afrikaans,0.54,0.54,0.54,0.54,0.54,200
afroxlmr_focal_pairwise_exploratory,eng,English,0.5,0.5,0.5,0.5,0.5,200
afroxlmr_focal_pairwise_exploratory,zul,isiZulu,0.6,0.6,0.6,0.6,0.6,200
afroxlmr_min15words,afr,Afrikaans,0.5037037037037037,0.0,0.0,0.334975369458128,0.3374566684911512,135
afroxlmr_min15words,eng,English,0.4935897435897436,0.0,0.0,0.3304721030042918,0.3262352811709035,156
afroxlmr_min15words,zul,isiZulu,0.5192307692307693,1.0,0.0196078431372549,0.358974358974359,0.3651380670611439,104
afroxlmr_min15words_prior_calibrated,afr,Afrikaans,0.5259259259259259,0.5211267605633803,0.5522388059701493,0.5256916996047432,0.5256136241643489,135
afroxlmr_min15words_prior_calibrated,eng,English,0.4807692307692308,0.4878048780487805,0.5063291139240507,0.4802352844391427,0.480448862971178,156
afroxlmr_min15words_prior_calibrated,zul,isiZulu,0.4519230769230769,0.4464285714285714,0.4901960784313725,0.4514666419913019,0.4511623520367853,104
afroxlmr_min15words_pairwise_exploratory,afr,Afrikaans,0.4518518518518518,0.4461538461538462,0.4328358208955223,0.4515810276679842,0.45167130239594,135
afroxlmr_min15words_pairwise_exploratory,eng,English,0.4743589743589743,0.4805194805194805,0.4683544303797468,0.4743589743589743,0.4743589743589743,156
afroxlmr_min15words_pairwise_exploratory,zul,isiZulu,0.5384615384615384,0.5306122448979592,0.5098039215686274,0.5377777777777778,0.5381196581196581,104
afroxlmr_repro_5e,afr,Afrikaans,0.5,0.0,0.0,0.3333333333333333,0.3333333333333332,200
afroxlmr_repro_5e,eng,English,0.505,1.0,0.01,0.3443491506341269,0.3443491506341269,200
afroxlmr_repro_5e,zul,isiZulu,0.505,1.0,0.01,0.3443491506341269,0.3443491506341269,200
afroxlmr_repro_5e_prior_calibrated,afr,Afrikaans,0.5,0.5,0.5,0.5,0.5,200
afroxlmr_repro_5e_prior_calibrated,eng,English,0.5,0.5,0.5,0.5,0.5,200
afroxlmr_repro_5e_prior_calibrated,zul,isiZulu,0.48,0.48,0.48,0.48,0.48,200
afroxlmr_repro_5e_pairwise_exploratory,afr,Afrikaans,0.35,0.35,0.35,0.35,0.35,200
afroxlmr_repro_5e_pairwise_exploratory,eng,English,0.39,0.39,0.39,0.39,0.39,200
afroxlmr_repro_5e_pairwise_exploratory,zul,isiZulu,0.62,0.62,0.62,0.62,0.62,200
xlmr_5e,afr,Afrikaans,0.5,0.5,0.01,0.3420186866692986,0.3420186866692985,200
xlmr_5e,eng,English,0.5,0.0,0.0,0.3333333333333333,0.3333333333333332,200
xlmr_5e,zul,isiZulu,0.505,0.6666666666666666,0.02,0.3527508090614886,0.3527508090614886,200
xlmr_5e_prior_calibrated,afr,Afrikaans,0.5,0.5,0.5,0.5,0.5,200
xlmr_5e_prior_calibrated,eng,English,0.48,0.48,0.48,0.48,0.48,200
xlmr_5e_prior_calibrated,zul,isiZulu,0.49,0.49,0.49,0.49,0.49,200
xlmr_5e_pairwise_exploratory,afr,Afrikaans,0.56,0.56,0.56,0.56,0.56,200
xlmr_5e_pairwise_exploratory,eng,English,0.59,0.59,0.59,0.59,0.59,200
xlmr_5e_pairwise_exploratory,zul,isiZulu,0.49,0.49,0.49,0.49,0.49,200
afriberta_5e,afr,Afrikaans,0.495,0.4,0.02,0.3478611783696529,0.3478611783696529,200
afriberta_5e,eng,English,0.49,0.25,0.01,0.3373180873180873,0.3373180873180872,200
afriberta_5e,zul,isiZulu,0.5,0.5,0.02,0.3503118503118503,0.3503118503118502,200
afriberta_5e_prior_calibrated,afr,Afrikaans,0.51,0.51,0.51,0.51,0.51,200
afriberta_5e_prior_calibrated,eng,English,0.48,0.48,0.48,0.48,0.48,200
afriberta_5e_prior_calibrated,zul,isiZulu,0.51,0.51,0.51,0.51,0.51,200
afriberta_5e_pairwise_exploratory,afr,Afrikaans,0.55,0.55,0.55,0.55,0.55,200
afriberta_5e_pairwise_exploratory,eng,English,0.56,0.56,0.56,0.56,0.56,200
afriberta_5e_pairwise_exploratory,zul,isiZulu,0.51,0.51,0.51,0.51,0.51,200
mbert_5e,afr,Afrikaans,0.49,0.3333333333333333,0.02,0.3453985367731998,0.3453985367731998,200
mbert_5e,eng,English,0.505,1.0,0.01,0.3443491506341269,0.3443491506341269,200
mbert_5e,zul,isiZulu,0.51,1.0,0.02,0.3551783129359126,0.3551783129359126,200
mbert_5e_prior_calibrated,afr,Afrikaans,0.49,0.490566037735849,0.52,0.4895405865278751,0.4895405865278751,200
mbert_5e_prior_calibrated,eng,English,0.5,0.5,0.5,0.5,0.5,200
mbert_5e_prior_calibrated,zul,isiZulu,0.47,0.47,0.47,0.47,0.47,200
mbert_5e_pairwise_exploratory,afr,Afrikaans,0.47,0.47,0.47,0.47,0.47,200
mbert_5e_pairwise_exploratory,eng,English,0.36,0.36,0.36,0.36,0.36,200
mbert_5e_pairwise_exploratory,zul,isiZulu,0.52,0.52,0.52,0.52,0.52,200
afroxlmr_focal_5e,afr,Afrikaans,0.5,0.0,0.0,0.3333333333333333,0.3333333333333332,200
afroxlmr_focal_5e,eng,English,0.505,1.0,0.01,0.3443491506341269,0.3443491506341269,200
afroxlmr_focal_5e,zul,isiZulu,0.5,0.5,0.01,0.3420186866692986,0.3420186866692985,200
afroxlmr_focal_5e_prior_calibrated,afr,Afrikaans,0.47,0.47,0.47,0.47,0.47,200
afroxlmr_focal_5e_prior_calibrated,eng,English,0.5,0.5,0.5,0.5,0.5,200
afroxlmr_focal_5e_prior_calibrated,zul,isiZulu,0.44,0.44,0.44,0.44,0.44,200
afroxlmr_focal_5e_pairwise_exploratory,afr,Afrikaans,0.6,0.6,0.6,0.6,0.6,200
afroxlmr_focal_5e_pairwise_exploratory,eng,English,0.56,0.56,0.56,0.56,0.56,200
afroxlmr_focal_5e_pairwise_exploratory,zul,isiZulu,0.65,0.65,0.65,0.65,0.65,200
afroxlmr_min15words_5e,afr,Afrikaans,0.5037037037037037,0.0,0.0,0.334975369458128,0.3374566684911512,135
afroxlmr_min15words_5e,eng,English,0.4935897435897436,0.0,0.0,0.3304721030042918,0.3262352811709035,156
afroxlmr_min15words_5e,zul,isiZulu,0.5192307692307693,1.0,0.0196078431372549,0.358974358974359,0.3651380670611439,104
afroxlmr_min15words_5e_prior_calibrated,afr,Afrikaans,0.4666666666666667,0.4647887323943662,0.4925373134328358,0.4664031620553359,0.4663153271848924,135
afroxlmr_min15words_5e_prior_calibrated,eng,English,0.4935897435897436,0.5,0.5189873417721519,0.4930689811196577,0.4932772861076921,156
afroxlmr_min15words_5e_prior_calibrated,zul,isiZulu,0.4903846153846153,0.4821428571428571,0.5294117647058824,0.4899602109743684,0.4896772747008704,104
afroxlmr_min15words_5e_pairwise_exploratory,afr,Afrikaans,0.6,0.6,0.582089552238806,0.599802371541502,0.5998682476943347,135
afroxlmr_min15words_5e_pairwise_exploratory,eng,English,0.5128205128205128,0.5194805194805194,0.5063291139240507,0.5128205128205128,0.5128205128205128,156
afroxlmr_min15words_5e_pairwise_exploratory,zul,isiZulu,0.5769230769230769,0.5714285714285714,0.5490196078431373,0.5762962962962963,0.5766096866096866,104
